,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
47,Khani,0,GE,1562079132,33,41.96,42.96,31.0,4.6
48,Mar del Plata,93,AR,1562079059,94,-46.43,-67.52,1.83,8.15
49,Hilo,1,US,1562079129,78,19.71,-155.08,22.0,3.1
50,Mahebourg,40,MU,1562078974,64,-20.41,57.7,23.0,4.6
51,Ahuimanu,40,US,1562079132,88,21.44,-157.84,26.0,3.6
52,Honningsvag,93,NO,1562078949,92,70.98,25.97,7.13,7.07
53,Northam,9,AU,1562079132,87,-31.65,116.67,12.0,1.0
54,Mahebourg,40,MU,1562078974,64,-20.41,57.7,23.0,4.6
55,Waingapu,29,ID,1562079132,89,-9.65,120.26,21.83,4.88
56,Mataura,100,NZ,1562079127,80,-46.19,168.86,10.0,0.89
57,Xiaoyi,45,CN,1562079133,39,37.15,111.77,17.63,0.6
58,Chilca,20,PE,1562079133,53,-13.22,-72.34,11.0,2.1
59,Bafra,20,TR,1562079053,57,41.57,35.91,25.0,4.1
60,Georgetown,40,GY,1562078847,78,6.8,-58.16,30.0,6.2
61,Nanortalik,100,GL,1562079133,98,60.14,-45.24,1.43,2.76
62,Tiksi,100,RU,1562079133,94,71.64,128.87,2.03,6.36
63,Cabo San Lucas,40,MX,1562079100,78,22.89,-109.91,26.67,1.09
64,Hermanus,100,ZA,1562079129,69,-34.42,19.24,18.33,6.26
65,Hermanus,100,ZA,1562079129,69,-34.42,19.24,18.33,6.26
66,Lebu,75,ET,1562079128,100,8.96,38.73,14.0,3.6
67,Adrar,99,DZ,1562078846,6,27.87,-0.29,45.0,7.2
68,Leningradskiy,85,RU,1562079134,99,69.38,178.42,2.23,1.26
69,Coquimbo,0,CL,1562079134,81,-29.95,-71.34,9.0,2.6
70,Kapaa,75,US,1562079134,78,22.08,-159.32,26.0,2.6
71,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
72,Zhigansk,86,RU,1562079134,70,66.77,123.37,8.33,9.6
73,New Norfolk,75,AU,1562079134,65,-42.78,147.06,8.33,2.1
74,Kaitangata,100,NZ,1562079135,60,-46.28,169.85,11.11,2.53
75,Kirakira,65,SB,1562079135,82,-10.46,161.92,25.23,4.05
76,Khovu-Aksy,46,RU,1562079135,70,51.13,93.72,12.83,1.36
77,Vaini,100,IN,1562079135,85,15.34,74.49,25.73,2.75
78,Guntakal,100,IN,1562079135,58,15.16,77.38,28.33,7.74
79,Atuona,6,PF,1562079126,77,-9.8,-139.03,26.53,6.05
80,Vaini,100,IN,1562079135,85,15.34,74.49,25.73,2.75
81,Tezu,95,IN,1562079135,94,27.93,96.16,24.33,1.74
82,Certeju de Sus,0,RO,1562079136,47,45.97,22.97,31.93,3.36
83,Upernavik,7,GL,1562079136,86,72.79,-56.15,4.73,1.08
84,Busselton,15,AU,1562079136,62,-33.64,115.35,10.0,4.96
85,Husavik,73,CA,1562079136,60,50.56,-96.99,21.11,4.47
86,Arraial do Cabo,40,BR,1562079136,78,-22.97,-42.02,26.0,3.1
87,Praya,40,ID,1562079136,83,-8.71,116.27,26.0,3.6
88,Palmer,20,AU,1562079137,93,-34.85,139.16,11.67,2.6
89,Hulan,0,IR,1562079137,7,34.23,47.18,37.0,3.51
90,Hobart,75,AU,1562078949,65,-42.88,147.33,8.33,2.1
91,Saint Anthony,75,US,1562079137,67,43.97,-111.68,17.78,4.6
92,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
93,Barrow,0,AR,1562079130,43,-38.31,-60.23,9.53,10.14
94,Nemuro,95,JP,1562079137,100,43.32,145.57,12.83,3.79
95,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
96,New Norfolk,75,AU,1562079134,65,-42.78,147.06,8.33,2.1
97,Punta Arenas,20,CL,1562079137,80,-53.16,-70.91,1.0,2.6
98,Georgetown,40,GY,1562078847,78,6.8,-58.16,30.0,6.2
99,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
100,Tuktoyaktuk,75,CA,1562079129,87,69.44,-133.03,8.0,7.7
101,Mar del Plata,93,AR,1562079059,94,-46.43,-67.52,1.83,8.15
102,Havre-Saint-Pierre,1,CA,1562079138,67,50.23,-63.6,17.0,4.6
103,Puerto Ayora,40,EC,1562079138,73,-0.74,-90.35,24.0,7.2
104,San Cristobal,5,HN,1562079138,57,14.68,-86.92,24.83,4.26
105,Castro,75,CL,1562079138,100,-42.48,-73.76,4.0,2.1
106,Pevek,52,RU,1562079131,94,69.7,170.27,1.73,3.71
107,Khatanga,82,RU,1562079138,39,71.98,102.47,15.23,1.9
108,Thompson,75,CA,1562079130,76,55.74,-97.86,11.0,3.6
109,Busselton,15,AU,1562079136,62,-33.64,115.35,10.0,4.96
110,Pedro Juan Caballero,90,PY,1562079138,93,-22.55,-55.74,19.0,5.1
111,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
112,Kavaratti,93,IN,1562079139,76,10.57,72.64,29.13,7.71
113,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
114,Cape Town,75,ZA,1562079131,93,-33.93,18.42,14.44,8.7
115,Port Alfred,0,ZA,1562079139,44,-33.59,26.89,19.44,3.58
116,Ukiah,1,US,1562078939,67,39.15,-123.21,17.78,1.5
117,Upernavik,7,GL,1562079136,86,72.79,-56.15,4.73,1.08
118,Vaini,100,IN,1562079135,85,15.34,74.49,25.73,2.75
119,Tuktoyaktuk,75,CA,1562079129,87,69.44,-133.03,8.0,7.7
120,Lazaro Cardenas,19,MX,1562079139,33,28.39,-105.62,32.22,2.74
121,Sabzevar,20,IR,1562078933,25,36.21,57.68,31.0,10.3
122,Sur,0,OM,1562079139,47,22.57,59.53,33.53,3.38
123,Huarmey,100,PE,1562079034,90,-10.07,-78.15,17.53,6.44
124,Cape Town,75,ZA,1562079131,93,-33.93,18.42,14.44,8.7
125,Katsuura,75,JP,1562079131,94,33.93,134.5,22.0,3.1
126,Albany,90,US,1562079140,68,42.65,-73.75,22.78,1.5
127,Mayo,90,CA,1562079140,93,63.59,-135.9,14.0,1.5
128,Chokurdakh,100,RU,1562079140,80,70.62,147.9,5.43,3.73
129,Barrow,0,AR,1562079130,43,-38.31,-60.23,9.53,10.14
130,Albany,90,US,1562079140,68,42.65,-73.75,22.78,1.5
131,Chuy,96,UY,1562079140,67,-33.69,-53.46,10.83,7.26
132,Hobart,75,AU,1562078949,65,-42.88,147.33,8.33,2.1
133,Busselton,15,AU,1562079136,62,-33.64,115.35,10.0,4.96
134,Yellowknife,75,CA,1562079128,66,62.45,-114.38,13.0,8.7
135,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
136,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
137,Kaitangata,100,NZ,1562079135,60,-46.28,169.85,11.11,2.53
138,Barrow,0,AR,1562079130,43,-38.31,-60.23,9.53,10.14
139,Vanimo,11,PG,1562079141,77,-2.67,141.3,28.03,3.12
140,Zhigansk,86,RU,1562079134,70,66.77,123.37,8.33,9.6
141,Mundo Nuevo,0,CL,1562079141,76,-32.72,-71.41,9.0,2.1
142,Kaitangata,100,NZ,1562079135,60,-46.28,169.85,11.11,2.53
143,Honiara,75,SB,1562079141,100,-9.43,159.96,24.0,3.37
144,Geraldton,5,CA,1562079141,53,49.72,-86.95,23.0,1.5
145,Ribeira Grande,75,PT,1562079128,88,38.52,-28.7,22.0,4.1
146,Victoria,75,BN,1562079141,78,5.28,115.24,28.0,2.1
147,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
148,Barrow,0,AR,1562079130,43,-38.31,-60.23,9.53,10.14
149,Visnes,40,NO,1562079141,58,59.36,5.22,13.0,7.2
150,Hofn,71,IS,1562079142,83,64.25,-15.21,5.03,4.59
151,San Cristobal,5,HN,1562079138,57,14.68,-86.92,24.83,4.26
152,Cabo San Lucas,40,MX,1562079100,78,22.89,-109.91,26.67,1.09
153,Bambous Virieux,40,MU,1562079142,64,-20.34,57.76,23.0,4.6
154,Huarmey,100,PE,1562079034,90,-10.07,-78.15,17.53,6.44
155,Mao,20,DO,1562079058,70,19.55,-71.08,32.22,2.6
156,Punta Arenas,20,CL,1562079137,80,-53.16,-70.91,1.0,2.6
157,Luderitz,0,NA,1562079142,75,-26.65,15.16,13.93,10.27
158,Bethel,90,US,1562079142,93,60.79,-161.76,11.0,5.7
159,Pemberton,69,AU,1562079142,95,-34.44,116.03,10.0,0.85
160,Mataura,100,NZ,1562079127,80,-46.19,168.86,10.0,0.89
161,Havelock,1,US,1562079143,62,34.88,-76.9,31.67,0.26
162,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
163,Busselton,15,AU,1562079136,62,-33.64,115.35,10.0,4.96
164,Vaini,100,IN,1562079135,85,15.34,74.49,25.73,2.75
165,Fengzhen,3,CN,1562079143,57,40.43,113.15,16.73,0.19
166,Port Hardy,90,CA,1562079143,93,50.7,-127.42,13.0,1.0
167,Tiznit,0,MA,1562079018,84,29.7,-9.73,19.43,7.95
168,Hobart,75,AU,1562078949,65,-42.88,147.33,8.33,2.1
169,Vaini,100,IN,1562079135,85,15.34,74.49,25.73,2.75
170,Puerto Ayora,40,EC,1562079138,73,-0.74,-90.35,24.0,7.2
171,Kataysk,100,RU,1562079143,96,56.29,62.58,17.33,6.21
172,Kayseri,0,TR,1562079143,21,38.73,35.48,29.0,6.2
173,Vaini,100,IN,1562079135,85,15.34,74.49,25.73,2.75
174,Talnakh,0,RU,1562079144,18,69.49,88.39,23.0,3.0
175,Kochki,33,RU,1562079144,80,54.33,80.49,17.33,0.95
176,Ilulissat,40,GL,1562079144,26,69.22,-51.1,13.0,7.2
177,Bredasdorp,94,ZA,1562079144,45,-34.53,20.04,20.0,11.3
178,Coihaique,20,CL,1562079144,99,-45.58,-72.07,4.0,2.1
179,Cidreira,0,BR,1562079144,52,-30.17,-50.22,14.63,2.35
180,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
181,Nuevitas,20,CU,1562079144,79,21.55,-77.27,29.0,4.1
182,Yellowknife,75,CA,1562079128,66,62.45,-114.38,13.0,8.7
183,Saldanha,0,PT,1562079145,23,41.42,-6.55,32.43,0.8
184,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
185,Mataura,100,NZ,1562079127,80,-46.19,168.86,10.0,0.89
186,East London,0,ZA,1562079123,26,-33.02,27.91,22.0,3.6
187,Yatou,75,CM,1562079145,88,3.63,9.81,28.0,1.5
188,Puerto Ayora,40,EC,1562079138,73,-0.74,-90.35,24.0,7.2
189,Vaini,100,IN,1562079135,85,15.34,74.49,25.73,2.75
190,Greymouth,100,NZ,1562079145,93,-42.45,171.21,13.53,16.64
191,Chernyshevskiy,0,RU,1562079145,48,63.01,112.47,12.03,2.84
192,Khatanga,82,RU,1562079138,39,71.98,102.47,15.23,1.9
193,Hermanus,100,ZA,1562079129,69,-34.42,19.24,18.33,6.26
194,Paita,40,PE,1562079145,290,-5.09,-81.11,17.0,9.3
195,Mataura,100,NZ,1562079127,80,-46.19,168.86,10.0,0.89
196,Geraldton,5,CA,1562079141,53,49.72,-86.95,23.0,1.5
197,Kaitangata,100,NZ,1562079135,60,-46.28,169.85,11.11,2.53
198,Kavieng,1,PG,1562079128,75,-2.57,150.8,28.23,4.21
199,Puerto Ayora,40,EC,1562079138,73,-0.74,-90.35,24.0,7.2
200,Kodiak,1,US,1562079146,45,39.95,-94.76,28.33,2.1
201,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
202,Saint-Georges,53,CA,1562079146,67,46.12,-70.67,22.78,3.13
203,Albany,90,US,1562079140,68,42.65,-73.75,22.78,1.5
204,Tiksi,100,RU,1562079133,94,71.64,128.87,2.03,6.36
205,Henties Bay,0,NA,1562079146,64,-22.12,14.28,18.33,5.36
206,Esperance,75,AU,1562079147,66,-33.86,121.89,11.0,2.6
207,Hermanus,100,ZA,1562079129,69,-34.42,19.24,18.33,6.26
208,Avarua,49,CK,1562079147,68,-21.21,-159.78,21.0,4.6
209,Imbituba,75,BR,1562079147,100,-28.24,-48.67,14.0,1.5
210,Pingliang,79,CN,1562079147,60,35.54,106.68,16.63,2.43
211,The Pas,75,CA,1562079147,71,53.82,-101.24,12.0,6.2
212,Albany,90,US,1562079140,68,42.65,-73.75,22.78,1.5
213,Bluff,90,AU,1562079147,67,-23.58,149.07,17.53,3.26
214,Gayeri,51,BF,1562079147,24,12.65,0.49,39.53,3.19
215,Nishihara,1,JP,1562079148,83,35.74,139.53,24.44,2.01
216,Saldanha,0,PT,1562079145,23,41.42,-6.55,32.43,0.8
217,Atuona,6,PF,1562079126,77,-9.8,-139.03,26.53,6.05
218,Saint-Philippe,1,CA,1562079148,57,45.36,-73.48,26.11,1.5
219,Vaini,100,IN,1562079135,85,15.34,74.49,25.73,2.75
220,Iqaluit,5,CA,1562079148,65,63.75,-68.52,8.0,2.1
221,Dikson,100,RU,1562079148,99,73.51,80.55,5.63,3.61
222,Bluff,90,AU,1562079147,67,-23.58,149.07,17.53,3.26
223,Arraial do Cabo,40,BR,1562079136,78,-22.97,-42.02,26.0,3.1
224,Ilulissat,40,GL,1562079144,26,69.22,-51.1,13.0,7.2
225,Lakes Entrance,98,AU,1562079148,82,-37.88,147.99,7.78,3.64
226,Ternate,75,PH,1562079149,78,14.29,120.72,28.33,1.0
227,Atuona,6,PF,1562079126,77,-9.8,-139.03,26.53,6.05
228,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
229,Hobart,75,AU,1562078949,65,-42.88,147.33,8.33,2.1
230,Vaini,100,IN,1562079135,85,15.34,74.49,25.73,2.75
231,Punta Arenas,20,CL,1562079137,80,-53.16,-70.91,1.0,2.6
232,Saint-Philippe,1,CA,1562079148,57,45.36,-73.48,26.11,1.5
233,Abbeville,0,FR,1562079149,56,50.11,1.83,24.44,6.7
234,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
235,Dikson,100,RU,1562079148,99,73.51,80.55,5.63,3.61
236,Mataura,100,NZ,1562079127,80,-46.19,168.86,10.0,0.89
237,Ila,75,NO,1562079149,62,63.43,10.37,11.0,10.8
238,Bucerias,40,MX,1562079149,78,20.76,-105.33,28.89,1.91
239,Severo-Kurilsk,100,RU,1562079149,95,50.68,156.12,5.53,1.74
240,Leningradskiy,85,RU,1562079134,99,69.38,178.42,2.23,1.26
241,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
242,Kalashnikovo,3,RU,1562079150,65,57.28,35.23,18.93,4.31
243,Castro,75,CL,1562079138,100,-42.48,-73.76,4.0,2.1
244,Hobyo,84,SO,1562079150,63,5.35,48.53,27.23,13.02
245,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
246,Atuona,6,PF,1562079126,77,-9.8,-139.03,26.53,6.05
247,Ornskoldsvik,77,SE,1562079150,29,63.29,18.72,16.0,7.2
248,Punta Arenas,20,CL,1562079137,80,-53.16,-70.91,1.0,2.6
249,Port Elizabeth,1,US,1562079150,61,39.31,-74.98,30.0,3.6
250,Bambous Virieux,40,MU,1562079142,64,-20.34,57.76,23.0,4.6
251,Arraial do Cabo,40,BR,1562079136,78,-22.97,-42.02,26.0,3.1
252,Ypsonas,0,CY,1562078963,55,34.69,32.96,31.0,8.7
253,Atuona,6,PF,1562079126,77,-9.8,-139.03,26.53,6.05
254,Bluff,90,AU,1562079147,67,-23.58,149.07,17.53,3.26
255,Hobart,75,AU,1562078949,65,-42.88,147.33,8.33,2.1
256,Butaritari,100,KI,1562079129,70,3.07,172.79,29.23,3.77
257,Bereda,75,ES,1562079151,73,43.27,-7.54,21.0,4.6
258,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
259,Along,72,IN,1562079151,97,28.17,94.8,16.33,0.39
260,Tezu,95,IN,1562079135,94,27.93,96.16,24.33,1.74
261,Hermanus,100,ZA,1562079129,69,-34.42,19.24,18.33,6.26
262,Port Alfred,0,ZA,1562079139,44,-33.59,26.89,19.44,3.58
263,Acajutla,16,SV,1562079151,68,13.59,-89.83,28.13,1.57
264,Chiredzi,0,ZW,1562079152,22,-21.05,31.67,22.83,2.44
265,Grindavik,75,IS,1562079152,58,63.84,-22.43,13.0,2.1
266,Jamestown,0,AU,1562079126,89,-33.21,138.6,8.13,1.44
267,Manchester,75,US,1562078860,61,43.0,-71.45,27.78,3.1
268,Atuona,6,PF,1562079126,77,-9.8,-139.03,26.53,6.05
269,Bluff,90,AU,1562079147,67,-23.58,149.07,17.53,3.26
270,Namibe,0,AO,1562079152,73,-15.19,12.15,21.0,3.6
271,Yar-Sale,0,RU,1562079152,36,66.83,70.83,26.33,4.81
272,Atuona,6,PF,1562079126,77,-9.8,-139.03,26.53,6.05
273,Vaini,100,IN,1562079135,85,15.34,74.49,25.73,2.75
274,Punta Arenas,20,CL,1562079137,80,-53.16,-70.91,1.0,2.6
275,Severo-Kurilsk,100,RU,1562079149,95,50.68,156.12,5.53,1.74
276,Saint-Philippe,1,CA,1562079148,57,45.36,-73.48,26.11,1.5
277,Rome,0,IT,1562078881,34,41.89,12.48,36.11,5.1
278,Mar del Plata,93,AR,1562079059,94,-46.43,-67.52,1.83,8.15
279,Pevek,52,RU,1562079131,94,69.7,170.27,1.73,3.71
280,Gasa,99,BT,1562079153,90,27.91,89.73,6.93,2.5
281,Christchurch,100,NZ,1562079153,62,-43.53,172.64,15.0,6.2
282,Klaksvik,69,FO,1562079153,71,62.23,-6.59,11.0,9.8
283,Yellowknife,75,CA,1562079128,66,62.45,-114.38,13.0,8.7
284,Sitka,100,US,1562079153,59,37.17,-99.65,25.73,3.54
285,Saint-Philippe,1,CA,1562079148,57,45.36,-73.48,26.11,1.5
286,New Norfolk,75,AU,1562079134,65,-42.78,147.06,8.33,2.1
287,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
288,Punta Arenas,20,CL,1562079137,80,-53.16,-70.91,1.0,2.6
289,Qaanaaq,0,GL,1562079153,42,77.48,-69.36,9.63,1.35
290,Vostok,86,RU,1562079153,96,46.45,135.83,13.23,1.19
291,Kapaa,75,US,1562079134,78,22.08,-159.32,26.0,2.6
292,Big Spring,40,US,1562078941,69,32.25,-101.48,26.11,7.2
293,Namatanai,69,PG,1562079154,85,-3.66,152.44,25.83,7.04
294,Yellowknife,75,CA,1562079128,66,62.45,-114.38,13.0,8.7
295,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
296,Marawi,100,PH,1562079154,88,8.0,124.29,24.44,4.47
297,Lagdo,100,CM,1562079154,59,9.06,13.67,31.63,1.59
298,Boundiali,27,CI,1562079154,50,9.53,-6.48,33.83,1.07
299,Phalombe,98,MW,1562079154,61,-15.81,35.65,21.03,1.72
300,Rikitea,100,PF,1562079134,75,-23.12,-134.97,20.73,9.39
301,Russell,1,US,1562079155,65,38.9,-98.86,29.44,6.7
302,Busselton,15,AU,1562079136,62,-33.64,115.35,10.0,4.96
303,Hilo,1,US,1562079129,78,19.71,-155.08,22.0,3.1
304,Punta Arenas,20,CL,1562079137,80,-53.16,-70.91,1.0,2.6
305,Nikolskoye,75,RU,1562079155,77,59.7,30.79,18.89,4.0
306,Airai,9,TL,1562079155,82,-8.93,125.41,21.53,1.92
307,Hermanus,100,ZA,1562079129,69,-34.42,19.24,18.33,6.26
308,East London,0,ZA,1562079123,26,-33.02,27.91,22.0,3.6
309,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
310,Ola,65,RU,1562079155,94,59.58,151.3,7.03,3.8
311,Castro,75,CL,1562079138,100,-42.48,-73.76,4.0,2.1
312,Pimentel,36,BR,1562079155,56,-3.7,-45.5,31.13,2.25
313,Mutoko,0,ZW,1562079155,28,-17.4,32.23,23.13,1.74
314,Michurinsk,0,RU,1562079156,44,52.9,40.48,26.0,8.0
315,San Policarpo,94,PH,1562079156,84,12.18,125.51,25.83,2.23
316,Beringovskiy,100,RU,1562079156,95,63.05,179.32,6.53,1.59
317,Yellowknife,75,CA,1562079128,66,62.45,-114.38,13.0,8.7
318,Santa Cruz de la Palma,75,ES,1562079156,57,28.68,-17.76,25.0,7.2
319,Preobrazheniye,100,RU,1562079156,99,42.9,133.91,11.93,0.26
320,Busselton,15,AU,1562079136,62,-33.64,115.35,10.0,4.96
321,Lavrentiya,100,RU,1562079156,96,65.58,-170.99,6.23,2.44
322,Bambous Virieux,40,MU,1562079142,64,-20.34,57.76,23.0,4.6
323,Yulara,0,AU,1562079158,37,-25.24,130.99,10.0,1.5
324,Esperance,75,AU,1562079147,66,-33.86,121.89,11.0,2.6
325,Lentekhi,0,GE,1562079158,58,42.79,42.72,17.03,2.12
326,Devonport,29,AU,1562079158,85,-41.18,146.36,5.0,1.89
327,Mataura,100,NZ,1562079127,80,-46.19,168.86,10.0,0.89
328,Faanui,93,PF,1562079158,81,-16.48,-151.75,25.33,14.13
329,Ahipara,97,NZ,1562079158,90,-35.17,173.16,16.13,5.77
330,Sobolevo,0,RU,1562079158,79,54.43,31.9,18.83,5.01
331,New Norfolk,75,AU,1562079134,65,-42.78,147.06,8.33,2.1
332,Banff,99,CA,1562079031,95,51.18,-115.57,6.67,0.51
333,Cape Town,75,ZA,1562079131,93,-33.93,18.42,14.44,8.7
334,Tiksi,100,RU,1562079133,94,71.64,128.87,2.03,6.36
335,Butaritari,100,KI,1562079129,70,3.07,172.79,29.23,3.77
336,Colares,75,PT,1562079159,68,38.8,-9.45,24.0,6.2
337,Bandarbeyla,0,SO,1562079159,34,9.49,50.81,34.63,10.34
338,Sarakhs,40,TM,1562079159,39,36.54,61.16,28.0,3.1
339,Saint Anthony,75,US,1562079137,67,43.97,-111.68,17.78,4.6
340,Husavik,73,CA,1562079136,60,50.56,-96.99,21.11,4.47
341,Kapaa,75,US,1562079134,78,22.08,-159.32,26.0,2.6
342,Boromo,76,BF,1562079159,24,11.74,-2.93,39.43,0.99
343,Barcelos,93,BR,1562079159,84,-0.97,-62.93,25.93,1.36
344,Bambous Virieux,40,MU,1562079142,64,-20.34,57.76,23.0,4.6
345,Longyearbyen,75,NO,1562079160,75,78.22,15.63,8.0,9.3
346,Hilo,1,US,1562079129,78,19.71,-155.08,22.0,3.1
347,Port Elizabeth,1,US,1562079150,61,39.31,-74.98,30.0,3.6
348,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
349,Ambon,20,FR,1562079160,50,47.55,-2.56,25.56,5.7
350,Cape Town,75,ZA,1562079131,93,-33.93,18.42,14.44,8.7
351,Busselton,15,AU,1562079136,62,-33.64,115.35,10.0,4.96
352,Lorengau,5,PG,1562079160,83,-2.02,147.27,26.33,2.81
353,Thompson,75,CA,1562079130,76,55.74,-97.86,11.0,3.6
354,Fort Nelson,20,CA,1562079160,62,58.81,-122.69,13.0,3.6
355,Ilulissat,40,GL,1562079144,26,69.22,-51.1,13.0,7.2
356,Pignon,40,HT,1562079160,74,19.34,-72.12,27.0,1.0
357,Albany,90,US,1562079140,68,42.65,-73.75,22.78,1.5
358,Rio Gallegos,40,AR,1562079161,100,-51.62,-69.22,-1.0,1.5
359,Airai,9,TL,1562079155,82,-8.93,125.41,21.53,1.92
360,East London,0,ZA,1562079123,26,-33.02,27.91,22.0,3.6
361,Cape Town,75,ZA,1562079131,93,-33.93,18.42,14.44,8.7
362,Cape Town,75,ZA,1562079131,93,-33.93,18.42,14.44,8.7
363,Praya,40,ID,1562079136,83,-8.71,116.27,26.0,3.6
364,Vaini,100,IN,1562079135,85,15.34,74.49,25.73,2.75
365,Hobart,75,AU,1562078949,65,-42.88,147.33,8.33,2.1
366,Ixtapa,40,MX,1562079162,78,20.71,-105.21,28.89,1.91
367,Albany,90,US,1562079140,68,42.65,-73.75,22.78,1.5
368,Butaritari,100,KI,1562079129,70,3.07,172.79,29.23,3.77
369,Misratah,0,LY,1562079091,75,32.38,15.09,25.73,6.79
370,Lebu,75,ET,1562079128,100,8.96,38.73,14.0,3.6
371,Hithadhoo,100,MV,1562079162,70,-0.6,73.08,29.13,3.72
372,Victoria,75,BN,1562079141,78,5.28,115.24,28.0,2.1
